keyword,intent,format_page,zone_type,metier,modificateur,vol_estime,difficulte,page_cible,statut,priorite,tier,quick_win,raison_priorite
menuisier villeurbanne,transactional,local-listing,commune-banlieue,menuisier,aucun,721,medium,/lyon/villeurbanne/menuisier,a-creer,1,T1-quick-win,oui,"Banlieue grosse (156,800hab) - ocean bleu local, vol significatif"
electricien grenoble,transactional,local-listing,ville-principale,electricien,aucun,720,high,/grenoble/electricien,existante,1,T2-volume-eleve,non,Top requete metier+ville - existante - SERP saturee top sites nationaux
carreleur lyon 7e,transactional,local-listing,arrondissement-lyon,carreleur,aucun,713,medium,/lyon/lyon-7e/carreleur,a-creer,1,T1-quick-win,oui,"Arrondissement Lyon (87,100hab) - vol fort, page facile a creer"
chauffagiste lyon 7e,transactional,local-listing,arrondissement-lyon,chauffagiste,aucun,713,medium,/lyon/lyon-7e/chauffagiste,a-creer,1,T1-quick-win,oui,"Arrondissement Lyon (87,100hab) - vol fort, page facile a creer"
carreleur lyon 8e,transactional,local-listing,arrondissement-lyon,carreleur,aucun,710,medium,/lyon/lyon-8e/carreleur,a-creer,1,T1-quick-win,oui,"Arrondissement Lyon (86,400hab) - vol fort, page facile a creer"
chauffagiste lyon 8e,transactional,local-listing,arrondissement-lyon,chauffagiste,aucun,710,medium,/lyon/lyon-8e/chauffagiste,a-creer,1,T1-quick-win,oui,"Arrondissement Lyon (86,400hab) - vol fort, page facile a creer"
electricien oullins,transactional,local-listing,commune-banlieue,electricien,aucun,709,medium,/lyon/oullins/electricien,a-creer,1,T1-quick-win,oui,"Banlieue grosse (26,600hab) - ocean bleu local, vol significatif"
peintre lyon 9e,transactional,local-listing,arrondissement-lyon,peintre,aucun,695,medium,/lyon/lyon-9e/peintre,a-creer,1,T1-quick-win,oui,"Arrondissement Lyon (51,800hab) - vol fort, page facile a creer"
menuisier lyon 9e,transactional,local-listing,arrondissement-lyon,menuisier,aucun,695,medium,/lyon/lyon-9e/menuisier,a-creer,1,T1-quick-win,oui,"Arrondissement Lyon (51,800hab) - vol fort, page facile a creer"
peintre lyon 6e,transactional,local-listing,arrondissement-lyon,peintre,aucun,691,medium,/lyon/lyon-6e/peintre,a-creer,1,T1-quick-win,oui,"Arrondissement Lyon (51,100hab) - vol fort, page facile a creer"
menuisier lyon 6e,transactional,local-listing,arrondissement-lyon,menuisier,aucun,691,medium,/lyon/lyon-6e/menuisier,a-creer,1,T1-quick-win,oui,"Arrondissement Lyon (51,100hab) - vol fort, page facile a creer"
electricien fontaine,transactional,local-listing,commune-banlieue,electricien,aucun,672,medium,/grenoble/fontaine/electricien,a-creer,1,T1-quick-win,oui,"Banlieue grosse (23,200hab) - ocean bleu local, vol significatif"
peintre lyon 5e,transactional,local-listing,arrondissement-lyon,peintre,aucun,669,medium,/lyon/lyon-5e/peintre,a-creer,1,T1-quick-win,oui,"Arrondissement Lyon (47,200hab) - vol fort, page facile a creer"
menuisier lyon 5e,transactional,local-listing,arrondissement-lyon,menuisier,aucun,669,medium,/lyon/lyon-5e/menuisier,a-creer,1,T1-quick-win,oui,"Arrondissement Lyon (47,200hab) - vol fort, page facile a creer"
electricien sainte foy les lyon,transactional,local-listing,commune-banlieue,electricien,aucun,662,medium,/lyon/sainte-foy-les-lyon/electricien,a-creer,1,T1-quick-win,oui,"Banlieue grosse (22,400hab) - ocean bleu local, vol significatif"
electricien tassin la demi lune,transactional,local-listing,commune-banlieue,electricien,aucun,659,medium,/lyon/tassin-la-demi-lune/electricien,a-creer,1,T1-quick-win,oui,"Banlieue grosse (22,100hab) - ocean bleu local, vol significatif"
electricien saint genis laval,transactional,local-listing,commune-banlieue,electricien,aucun,657,medium,/lyon/saint-genis-laval/electricien,a-creer,1,T1-quick-win,oui,"Banlieue grosse (22,000hab) - ocean bleu local, vol significatif"
electricien annecy le vieux,transactional,local-listing,commune-banlieue,electricien,aucun,645,medium,/annecy/annecy-le-vieux/electricien,a-creer,1,T1-quick-win,oui,"Banlieue grosse (21,000hab) - ocean bleu local, vol significatif"
electricien seynod,transactional,local-listing,commune-banlieue,electricien,aucun,633,medium,/annecy/seynod/electricien,a-creer,1,T1-quick-win,oui,"Banlieue grosse (20,000hab) - ocean bleu local, vol significatif"
electricien givors,transactional,local-listing,commune-banlieue,electricien,aucun,630,medium,/lyon/givors/electricien,a-creer,1,T1-quick-win,oui,"Banlieue grosse (19,800hab) - ocean bleu local, vol significatif"
electricien bourg les valence,transactional,local-listing,commune-banlieue,electricien,aucun,629,medium,/valence/bourg-les-valence/electricien,a-creer,1,T1-quick-win,oui,"Banlieue grosse (19,700hab) - ocean bleu local, vol significatif"
electricien saint fons,transactional,local-listing,commune-banlieue,electricien,aucun,623,medium,/lyon/saint-fons/electricien,a-creer,1,T1-quick-win,oui,"Banlieue grosse (19,200hab) - ocean bleu local, vol significatif"
electricien ecully,transactional,local-listing,commune-banlieue,electricien,aucun,616,medium,/lyon/ecully/electricien,a-creer,1,T1-quick-win,oui,"Banlieue grosse (18,700hab) - ocean bleu local, vol significatif"
macon lyon 3e,transactional,local-listing,arrondissement-lyon,macon,aucun,614,medium,/lyon/lyon-3e/macon,a-creer,1,T1-quick-win,oui,"Arrondissement Lyon (105,100hab) - vol fort, page facile a creer"
couvreur lyon 3e,transactional,local-listing,arrondissement-lyon,couvreur,aucun,614,medium,/lyon/lyon-3e/couvreur,a-creer,1,T1-quick-win,oui,"Arrondissement Lyon (105,100hab) - vol fort, page facile a creer"
electricien cran gevrier,transactional,local-listing,commune-banlieue,electricien,aucun,607,medium,/annecy/cran-gevrier/electricien,a-creer,1,T1-quick-win,oui,"Banlieue grosse (18,000hab) - ocean bleu local, vol significatif"
electricien meylan,transactional,local-listing,commune-banlieue,electricien,aucun,604,medium,/grenoble/meylan/electricien,a-creer,1,T1-quick-win,oui,"Banlieue grosse (17,800hab) - ocean bleu local, vol significatif"
peintre lyon 4e,transactional,local-listing,arrondissement-lyon,peintre,aucun,603,medium,/lyon/lyon-4e/peintre,a-creer,1,T1-quick-win,oui,"Arrondissement Lyon (36,400hab) - vol fort, page facile a creer"
menuisier lyon 4e,transactional,local-listing,arrondissement-lyon,menuisier,aucun,603,medium,/lyon/lyon-4e/menuisier,a-creer,1,T1-quick-win,oui,"Arrondissement Lyon (36,400hab) - vol fort, page facile a creer"
carreleur villeurbanne,transactional,local-listing,commune-banlieue,carreleur,aucun,601,medium,/lyon/villeurbanne/carreleur,a-creer,1,T1-quick-win,oui,"Banlieue grosse (156,800hab) - ocean bleu local, vol significatif"
chauffagiste villeurbanne,transactional,local-listing,commune-banlieue,chauffagiste,aucun,601,medium,/lyon/villeurbanne/chauffagiste,a-creer,1,T1-quick-win,oui,"Banlieue grosse (156,800hab) - ocean bleu local, vol significatif"
plombier chambery,transactional,local-listing,ville-principale,plombier,aucun,600,high,/chambery/plombier,existante,1,T2-volume-eleve,non,Top requete metier+ville - existante - SERP saturee top sites nationaux
electricien annecy,transactional,local-listing,ville-principale,electricien,aucun,600,high,/annecy/electricien,existante,1,T2-volume-eleve,non,Top requete metier+ville - existante - SERP saturee top sites nationaux
peintre lyon,transactional,local-listing,ville-principale,peintre,aucun,600,high,/lyon/peintre,existante,1,T2-volume-eleve,non,Top requete metier+ville - existante - SERP saturee top sites nationaux
menuisier lyon,transactional,local-listing,ville-principale,menuisier,aucun,600,high,/lyon/menuisier,existante,1,T2-volume-eleve,non,Top requete metier+ville - existante - SERP saturee top sites nationaux
plombier valence,transactional,local-listing,ville-principale,plombier,aucun,600,high,/valence/plombier,existante,1,T2-volume-eleve,non,Top requete metier+ville - existante - SERP saturee top sites nationaux
maprimerenov 2026,informational,guide-howto,national,n/a,aucun,600,high,/guides/maprimerenov-demarches,existante,1,T4-questions-guides,non,"Existante - vol enorme, evergreen, mais SERP saturee gov"
electricien saint egreve,transactional,local-listing,commune-banlieue,electricien,aucun,589,medium,/grenoble/saint-egreve/electricien,a-creer,1,T1-quick-win,oui,"Banlieue grosse (16,700hab) - ocean bleu local, vol significatif"
carreleur lyon 9e,transactional,local-listing,arrondissement-lyon,carreleur,aucun,579,medium,/lyon/lyon-9e/carreleur,a-creer,1,T1-quick-win,oui,"Arrondissement Lyon (51,800hab) - vol fort, page facile a creer"
chauffagiste lyon 9e,transactional,local-listing,arrondissement-lyon,chauffagiste,aucun,579,medium,/lyon/lyon-9e/chauffagiste,a-creer,1,T1-quick-win,oui,"Arrondissement Lyon (51,800hab) - vol fort, page facile a creer"
carreleur lyon 6e,transactional,local-listing,arrondissement-lyon,carreleur,aucun,576,medium,/lyon/lyon-6e/carreleur,a-creer,1,T1-quick-win,oui,"Arrondissement Lyon (51,100hab) - vol fort, page facile a creer"
chauffagiste lyon 6e,transactional,local-listing,arrondissement-lyon,chauffagiste,aucun,576,medium,/lyon/lyon-6e/chauffagiste,a-creer,1,T1-quick-win,oui,"Arrondissement Lyon (51,100hab) - vol fort, page facile a creer"
plombier urgence lyon,transactional,local-listing,ville-principale,plombier,urgence,575,medium,/urgence,existante,1,T1-quick-win,oui,Urgence + metier critique - intent achat immediat
electricien urgence lyon,transactional,local-listing,ville-principale,electricien,urgence,575,medium,/urgence,existante,1,T1-quick-win,oui,Urgence + metier critique - intent achat immediat
chauffagiste urgence lyon,transactional,local-listing,ville-principale,chauffagiste,urgence,575,medium,/urgence,existante,1,T1-quick-win,oui,Urgence + metier critique - intent achat immediat
peintre lyon 2e,transactional,local-listing,arrondissement-lyon,peintre,aucun,573,medium,/lyon/lyon-2e/peintre,a-creer,1,T1-quick-win,oui,"Arrondissement Lyon (32,100hab) - vol fort, page facile a creer"
menuisier lyon 2e,transactional,local-listing,arrondissement-lyon,menuisier,aucun,573,medium,/lyon/lyon-2e/menuisier,a-creer,1,T1-quick-win,oui,"Arrondissement Lyon (32,100hab) - vol fort, page facile a creer"
macon lyon 7e,transactional,local-listing,arrondissement-lyon,macon,aucun,570,medium,/lyon/lyon-7e/macon,a-creer,1,T1-quick-win,oui,"Arrondissement Lyon (87,100hab) - vol fort, page facile a creer"
couvreur lyon 7e,transactional,local-listing,arrondissement-lyon,couvreur,aucun,570,medium,/lyon/lyon-7e/couvreur,a-creer,1,T1-quick-win,oui,"Arrondissement Lyon (87,100hab) - vol fort, page facile a creer"
macon lyon 8e,transactional,local-listing,arrondissement-lyon,macon,aucun,568,medium,/lyon/lyon-8e/macon,a-creer,1,T1-quick-win,oui,"Arrondissement Lyon (86,400hab) - vol fort, page facile a creer"
couvreur lyon 8e,transactional,local-listing,arrondissement-lyon,couvreur,aucun,568,medium,/lyon/lyon-8e/couvreur,a-creer,1,T1-quick-win,oui,"Arrondissement Lyon (86,400hab) - vol fort, page facile a creer"
carreleur lyon 5e,transactional,local-listing,arrondissement-lyon,carreleur,aucun,558,medium,/lyon/lyon-5e/carreleur,a-creer,1,T1-quick-win,oui,"Arrondissement Lyon (47,200hab) - vol fort, page facile a creer"
chauffagiste lyon 5e,transactional,local-listing,arrondissement-lyon,chauffagiste,aucun,558,medium,/lyon/lyon-5e/chauffagiste,a-creer,1,T1-quick-win,oui,"Arrondissement Lyon (47,200hab) - vol fort, page facile a creer"
peintre lyon 1er,transactional,local-listing,arrondissement-lyon,peintre,aucun,549,medium,/lyon/lyon-1er/peintre,a-creer,1,T1-quick-win,oui,"Arrondissement Lyon (28,800hab) - vol fort, page facile a creer"
menuisier lyon 1er,transactional,local-listing,arrondissement-lyon,menuisier,aucun,549,medium,/lyon/lyon-1er/menuisier,a-creer,1,T1-quick-win,oui,"Arrondissement Lyon (28,800hab) - vol fort, page facile a creer"
peintre venissieux,transactional,local-listing,commune-banlieue,peintre,aucun,507,medium,/lyon/venissieux/peintre,a-creer,1,T1-quick-win,oui,"Banlieue grosse (65,100hab) - ocean bleu local, vol significatif"
menuisier venissieux,transactional,local-listing,commune-banlieue,menuisier,aucun,507,medium,/lyon/venissieux/menuisier,a-creer,1,T1-quick-win,oui,"Banlieue grosse (65,100hab) - ocean bleu local, vol significatif"
carreleur lyon 4e,transactional,local-listing,arrondissement-lyon,carreleur,aucun,502,medium,/lyon/lyon-4e/carreleur,a-creer,1,T1-quick-win,oui,"Arrondissement Lyon (36,400hab) - vol fort, page facile a creer"
chauffagiste lyon 4e,transactional,local-listing,arrondissement-lyon,chauffagiste,aucun,502,medium,/lyon/lyon-4e/chauffagiste,a-creer,1,T1-quick-win,oui,"Arrondissement Lyon (36,400hab) - vol fort, page facile a creer"
artisan annecy,transactional,ville-hub,ville-principale,multi,aucun,500,high,/annecy,existante,1,T2-volume-eleve,non,Hub ville - existante a optimiser - SERP dominee par PagesJaunes
artisan grenoble,transactional,ville-hub,ville-principale,multi,aucun,500,high,/grenoble,existante,1,T2-volume-eleve,non,Hub ville - existante a optimiser - SERP dominee par PagesJaunes
artisan lyon,transactional,ville-hub,ville-principale,multi,aucun,500,high,/lyon,existante,1,T2-volume-eleve,non,Hub ville - existante a optimiser - SERP dominee par PagesJaunes
carreleur lyon,transactional,local-listing,ville-principale,carreleur,aucun,500,high,/lyon/carreleur,existante,1,T2-volume-eleve,non,Top requete metier+ville - existante - SERP saturee top sites nationaux
chauffagiste lyon,transactional,local-listing,ville-principale,chauffagiste,aucun,500,high,/lyon/chauffagiste,existante,1,T2-volume-eleve,non,Top requete metier+ville - existante - SERP saturee top sites nationaux
prix plombier,informational,prix-tarif,national,plombier,prix,500,high,/prix/plombier,existante,1,T2-volume-eleve,non,Existante - prix metier en general - autorite a construire
